"","team_1","year.x","match_type.x","gender","n"
"1","Afghanistan","2014","ODI","male",10
"2","Afghanistan","2014","T20","male",3
"3","Afghanistan","2015","ODI","male",10
"4","Afghanistan","2015","T20","male",9
"5","Afghanistan","2016","T20","male",12
"6","Afghanistan","2017","ODI","male",7
"7","Afghanistan","2017","T20","male",8
"8","Afghanistan","2018","ODI","male",9
"9","Afghanistan","2018","T20","male",5
"10","Afghanistan","2019","ODI","male",20
"11","Afghanistan","2019","T20","male",10
"12","Afghanistan","2019","Test","male",3
"13","Afghanistan","2021","ODI","male",3
"14","Afghanistan","2021","T20","male",8
"15","Afghanistan","2022","ODI","male",12
"16","Afghanistan","2022","T20","male",18
"17","Afghanistan","2023","ODI","male",20
"18","Afghanistan","2023","T20","male",13
"19","Argentina","2021","T20","male",2
"20","Argentina","2021","T20","male",4
"21","Argentina","2023","T20","female",8
"22","Argentina","2023","T20","female",6
"23","Argentina","2023","T20","male",6
"24","Argentina","2023","T20","male",4
"25","Australia","2003","ODI","male",27
"26","Australia","2003","Test","male",4
"27","Australia","2003","Test","male",6
"28","Australia","2004","ODI","male",22
"29","Australia","2004","Test","male",7
"30","Australia","2005","ODI","male",15
"31","Australia","2005","Test","male",3
"32","Australia","2005","Test","male",4
"33","Australia","2006","ODI","male",21
"34","Australia","2006","T20","male",2
"35","Australia","2006","Test","male",6
"36","Australia","2007","ODI","female",15
"37","Australia","2007","ODI","male",25
"38","Australia","2007","T20","male",8
"39","Australia","2008","ODI","male",11
"40","Australia","2008","Test","male",8
"41","Australia","2008","Test","male",10
"42","Australia","2009","ODI","female",13
"43","Australia","2009","ODI","male",30
"44","Australia","2009","T20","female",5
"45","Australia","2009","T20","male",6
"46","Australia","2009","Test","male",9
"47","Australia","2009","Test","male",10
"48","Australia","2010","ODI","male",17
"49","Australia","2010","T20","female",3
"50","Australia","2010","T20","female",11
"51","Australia","2010","T20","male",5
"52","Australia","2010","T20","male",13
"53","Australia","2010","Test","male",9
"54","Australia","2011","ODI","male",20
"55","Australia","2011","Test","female",3
"56","Australia","2011","Test","male",5
"57","Australia","2012","ODI","male",12
"58","Australia","2012","ODI","male",15
"59","Australia","2012","T20","male",4
"60","Australia","2012","T20","male",9
"61","Australia","2012","Test","male",7
"62","Australia","2013","ODI","female",6
"63","Australia","2013","ODI","female",10
"64","Australia","2013","ODI","male",14
"65","Australia","2013","ODI","male",18
